Thermal Curtains for Doors and Windows,0,"Closing your curtains and blinds at dusk reduces heat loss. This is especially true if your windows are single glazed or not very good double glazing. Using thick thermal curtains, fixed as close to the window as possible, has the biggest effect. Fit a pelmet at the top of the curatins, or fit them tight against the ceiling,to stop heat leaking at the top of the window and make sure they fall to a window cill or the floor at the bottom. If you have a radiator below your window, make sure this isn't covered with the curtains - otherwise heat will just escape out of the window. For maximum efect, you could also velcro seal the curtains to the wall at either side, and at the centre between drapes. If you have glazed or draughty doors, thermal curtains can also help - they're not just for windows!. The cost will depend on the size of the window or door and the fabric chosen.",£35-£150,COMFORT,DIY,N,This is a simple no-brainer. Will still be useful but will make less of a difference where windows are higher performing double-glazed units.
Fabric Draught Excluders,0,"Placing fabric draught excluders at the bottom of doors in your home can help cut down on draughts. You can even make these yourself if you can sew.The cost will depend on whether it's home-made or bought, and what materials are used. It is possible to make these very cheaply with waste and scrap materials.",£10-40 each,COMFORT,DIY,Y,This is a simple no-brainer.
Radiator Panels,0,"Where a radiator is on an external wall, a lot of the heat it emits goes into the wall and escapes to the outside. You can help reduce this effect by fitting reflective radiator panels between it and the wall, which reflect heat back into the room. Make sure the panel is set off the wall, so that heat doesn't directly enter the wall.",£20-40 for a pack of ten panels,COMFORT,DIY,N,"Be aware, the benefits of this are questionable if applied to internal walls or if the panels are not installed correctly (i.e. hard up against the external wall). The gains will be marginal in most cases, but given the low cost, this may be worthwhile."
Radiator Bleeding and Tools,0,"Make sure you're getting the most out of your radiators by removing any trapped air in the system. This will make your radiators warmer, and your heating system more efficient. You can buy tools that help you do this manually. With some types of radiator it may be possible to add an automatic bleed valve - but you'll need one of these for each radiator.",£10 each,COMFORT,DIY or Handyperson,Y,This is another no-brainer - though householders may need some support and guidance on how to achieve it.
Letter boxes,0,"A letter box can be a major cause of draughts and heat loss. Prevent this by fitting a draught-excluding cover. Brush-type covers will prevent some draught, but solid flaps that seal shut unless post is being pushed against them are best.",£35 each,COMFORT,DIY or Handyperson,Y,This is a simple no-brainer.
Cat flaps,0,"Cat flaps and animal doors can be a major cause of draughts and heat loss. Prevent this by making sure your cat-flap closes properly, and doesn't blow open in the wind. You can now buy wind-proof cat-flaps.",£60 each,COMFORT,DIY or Handyperson,N,This is a simple no-brainer.
Keyhole cover,0,Using a small flap to cover keyholes in doors will help reduce draughts.,£10 each,COMFORT,DIY or Handyperson,N,
Open Chimneys,0,"An open chimney above a fire place will be a major asource of heat loss. When it is not being used for a fire, you should block it with a removable chimney draught excluder. These are specially made products that will help reduce draughts and keep heat in, but still allow the chimney to be vented, avoiding damp and condensation problems. They may either be inflatable 'balloons' or pillows, or made out of a vapour permeable material such as sheeps woool.",£20-50,COMFORT,DIY,Y,
Loft - Loft Insulation,1,"Where your roof insulation is at ceiling level, it is possible to simply top this up to keep more heat in. If you have less than 300mm (1 foot) of insulation, topping it up to 400mm can make a big difference. Make sure you don't block any ventilation routes at the eaves, as this can cause condensation problems in a 'cold' roof space - especially where you have an old-style non-breathable roofing membrane below the tiles or slates. If you can, lifting the existing insulation and fitting an air-tight and vapour-check membrane at ceiling level, below the new insulation, will also cut down on draughts and reduce the risk of condensation. Alternatively, make sure the ceiling is sealed from below with plaster in good condition, with all gaps and cracks filled. Laying or fitting a breather membrane over the insulation will also help improve the performance of the insulation, acting as a 'wind barrier'. The cost of this work will depend on size of loft, level of insulation required, and any associated draught-proofing works. (If your insulation is in line with your roof - at sloping rafters in an attic room or similar, or as part of a flat roof - it's more complicated to upgrade the insulation - see below).","£50-700,",COMFORT,DIY or Handyperson,Y,"This is relatively simple, but you need to be aware of unintended consequences. If there are any signs of condensation or damp in the loft space, these need to be investigated and fixed before fitting new insulation. In some houses may also need to be aware of risks like asbestos."
Loft - Loft Insulation (storage),1,"If you need to store things in your loft, make sure you don't crush your loft insulation, as this will make it work less well. You can store things and still have an insulated loft in two ways. Either build a platform over your soft loft insulation, using 'loft legs' or similar with rigid board fixed on top, OR install an area of rigid insulation, that can't be crushed, with board on top. If you are installing some rigid insulation, make it as small an area as possible and do not install above your bathroom. Rigid insulation could trap condensation and could damage your property.",£50-300,COMFORT,DIY or Handyperson,??,"Need to be slightly aware of structural issues here - if the ceiling is bowing, or the celling joists don't look in good condition, it's best not to do this without getting the advice of a structural engineer (or just not doing this). "
